#1
double data2(8760,2)   # comment line
  12852000           19
  12855600           19
  12859200           19
  12862800           19
  12866400           19
  12870000           19
  12873600           19
  12877200           19
  12880800           19
  12884400           19
  12888000           19
  12891600           19
  12895200           19
  12898800           19
  12902400           19
  12906000           19
  12909600           16
  12913200           16
  12916800           16
  12920400           16
  12924000           19
  12927600           19
  12931200           19
  12934800           19
  12938400           19
  12942000           19
  12945600           19
  12949200           19
  12952800           19
  12956400           19
  12960000           19
  12963600           19
  12967200           19
  12970800           19
  12974400           19
  12978000           19
  12981600           19
  12985200           19
  12988800           19
  12992400           19
  12996000           16
  12999600           16
  13003200           16
  13006800           16
  13010400           16
  13014000           16
  13017600           16
  13021200           16
  13024800           19
  13028400           19
  13032000           19
  13035600           19
  13039200           19
  13042800           19
  13046400           19
  13050000           19
  13053600           19
  13057200           19
  13060800           19
  13064400           19
  13068000           19
  13071600           19
  13075200           19
  13078800           19
  13082400           16
  13086000           16
  13089600           16
  13093200           16
  13096800           16
  13100400           16
  13104000           16
  13107600           16
  13111200           19
  13114800           19
  13118400           19
  13122000           19
  13125600           19
  13129200           19
